time	V(sw)
5.036268264372451e-005	2.299714e+001
5.036768264372448e-005	2.297925e+001
5.037268264372445e-005	2.296210e+001
5.037768264372442e-005	2.294565e+001
5.038268264372439e-005	2.292987e+001
5.038768264372436e-005	2.291473e+001
5.039268264372433e-005	2.290022e+001
5.039768264372430e-005	2.288630e+001
5.040268264372427e-005	2.287294e+001
5.040768264372424e-005	2.286013e+001
5.041268264372421e-005	2.284783e+001
5.041768264372418e-005	2.283604e+001
5.042268264372415e-005	2.282473e+001
5.042768264372412e-005	2.281387e+001
5.043268264372409e-005	2.280345e+001
5.043768264372407e-005	2.279345e+001
5.044268264372404e-005	2.278386e+001
5.044768264372401e-005	2.277464e+001
5.045268264372398e-005	2.276580e+001
5.045768264372395e-005	2.275731e+001
5.046268264372392e-005	2.274916e+001
5.046768264372389e-005	2.274132e+001
5.047268264372386e-005	2.273380e+001
5.047768264372383e-005	2.272658e+001
5.048768264372377e-005	2.271296e+001
5.049768264372371e-005	2.270038e+001
5.050768264372365e-005	2.268875e+001
5.051768264372359e-005	2.267798e+001
5.053268264372350e-005	2.266329e+001
5.054768264372341e-005	2.265016e+001
5.056268264372332e-005	2.263838e+001
5.057768264372323e-005	2.262779e+001
5.059268264372314e-005	2.261822e+001
5.060768264372306e-005	2.260955e+001
5.062268264372297e-005	2.260165e+001
5.063768264372288e-005	2.259443e+001
5.065268264372279e-005	2.258779e+001
5.066768264372270e-005	2.258165e+001
5.068268264372261e-005	2.257594e+001
5.069768264372252e-005	2.257061e+001
5.070768264372246e-005	2.256724e+001
5.071268264372243e-005	2.256561e+001
